date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:08	39/39	---M--	200	added ('OK')	text/css	etag:%2299662fddb1f2c4528391e6f20878e8b5%22	https://portfolionibrasse.vercel.app/css/skins/color-5.css	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/css/skins/color-5.css	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:08	1477/1477	---MCZ	200	added ('OK')	text/css	etag:W/%221607b11a1b8081e8f4a8d2636e56389b%22	https://portfolionibrasse.vercel.app/css/style-switcher.css	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/css/style-switcher.css	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:09	16457/16457	---MCZ	200	added ('OK')	text/css	etag:W/%22879734c526d65c49af250db220afc5e4%22	https://portfolionibrasse.vercel.app/css/swiper-bundle.min.css	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/css/swiper-bundle.min.css	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:09	23694/23694	---M--	200	added ('OK')	image/jpeg	etag:%229a3f523ecbad133a57017cf9a75a674c%22	https://portfolionibrasse.vercel.app/img/nib.jpg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/nib.jpg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:10	120756/120756	---M--	200	added ('OK')	image/png	etag:%2287362a5d6c78312915f26b5237a760d4%22	https://portfolionibrasse.vercel.app/img/portImages/cana.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/cana.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:10	610264/610264	---M--	200	added ('OK')	image/png	etag:%223e7942b2e22bbaeffb4cac0e26e6b7e2%22	https://portfolionibrasse.vercel.app/img/portImages/cart.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/cart.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:11	396871/396871	---M--	200	added ('OK')	image/png	etag:%228048bc4352135dc262e0d932ca49d979%22	https://portfolionibrasse.vercel.app/img/portImages/covide.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/covide.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:12	855726/855726	---M--	200	added ('OK')	image/png	etag:%2201dbc2cb470e8eb062d9498b706b7d33%22	https://portfolionibrasse.vercel.app/img/portImages/dipanini.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/dipanini.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:12	63081/63081	---M--	200	added ('OK')	image/png	etag:%22e5019f53655072d6a4d286125513271a%22	https://portfolionibrasse.vercel.app/img/portImages/docpla.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/docpla.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:12	497991/497991	---M--	200	added ('OK')	image/png	etag:%22dbf9aca0fe18fb4ba44ceeffa2b0c69e%22	https://portfolionibrasse.vercel.app/img/portImages/event.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/event.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:13	51406/51406	---M--	200	added ('OK')	image/jpeg	etag:%22a07ae47f2adbc314fe136e3581e816df%22	https://portfolionibrasse.vercel.app/img/portImages/girls.jpeg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/girls.jpeg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:13	920194/920194	---M--	200	added ('OK')	image/png	etag:%22a7cef608b4557439bc88929c100f580b%22	https://portfolionibrasse.vercel.app/img/portImages/express.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/express.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:14	502355/502355	---M--	200	added ('OK')	image/png	etag:%22882774c9fae2c2e08dc6acd249a0299a%22	https://portfolionibrasse.vercel.app/img/portImages/goo.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/goo.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:15	652765/652765	---M--	200	added ('OK')	image/png	etag:%2219fddcebf84c1156d7dd11b92b182b61%22	https://portfolionibrasse.vercel.app/img/portImages/hooks.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/hooks.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:15	112916/112916	---M--	200	added ('OK')	image/png	etag:%224ef7a74a401a81cd5a5c89b9ac95fd83%22	https://portfolionibrasse.vercel.app/img/portImages/parfum.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/parfum.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:16	419907/419907	---M--	200	added ('OK')	image/png	etag:%2234851741f8416209747cfd76318f1b7d%22	https://portfolionibrasse.vercel.app/img/portImages/port1.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/port1.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:16	480977/480977	---M--	200	added ('OK')	image/png	etag:%22d5964032171d8477dd8f8668bd3e8d97%22	https://portfolionibrasse.vercel.app/img/portImages/radioo.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/radioo.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:16	263661/263661	---M--	200	added ('OK')	image/png	etag:%222735cb2319347600810029211fac1193%22	https://portfolionibrasse.vercel.app/img/portImages/router.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/router.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:18	981436/981436	---M--	200	added ('OK')	image/png	etag:%22a52de5addcff80dd95d332992610dafa%22	https://portfolionibrasse.vercel.app/img/portImages/st.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/st.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:18	680419/680419	---M--	200	added ('OK')	image/png	etag:%22f5914daa76bf6eb1c01dfe24389feb7d%22	https://portfolionibrasse.vercel.app/img/portImages/tatli.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/tatli.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:18	153460/153460	---M--	200	added ('OK')	image/png	etag:%226753e070c342ae745e5ec0ada6bb54a5%22	https://portfolionibrasse.vercel.app/img/portImages/time.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/time.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:19	334609/334609	---M--	200	added ('OK')	image/png	etag:%22a48de8971a79d26b26f63d22d99f397b%22	https://portfolionibrasse.vercel.app/img/portImages/toDoApp.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/toDoApp.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:19	425245/425245	---M--	200	added ('OK')	image/png	etag:%2256bedd92b8b9dc0760afa033e30299b1%22	https://portfolionibrasse.vercel.app/img/portImages/tra.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/tra.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:20	354868/354868	---M--	200	added ('OK')	image/png	etag:%22a37600433b450871396a7354fb0eb65c%22	https://portfolionibrasse.vercel.app/img/portImages/youtube.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/portImages/youtube.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:21	1154630/1154630	---M--	200	added ('OK')	image/jpeg	etag:%2235de165d9cb7d91391893e863f15f101%22	https://portfolionibrasse.vercel.app/img/certif/htmlU.jpg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/certif/htmlU.jpg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:21	1140864/1140864	---M--	200	added ('OK')	image/jpeg	etag:%2298632eb04c9c66c1cbc656207d37a3dd%22	https://portfolionibrasse.vercel.app/img/certif/cssU.jpg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/certif/cssU.jpg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:22	173278/173278	---M--	200	added ('OK')	image/jpeg	etag:%223cfa33720d7c4602734d1eb8004f6248%22	https://portfolionibrasse.vercel.app/img/certif/htmlC.jpeg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/certif/htmlC.jpeg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:22	1143009/1143009	---M--	200	added ('OK')	image/jpeg	etag:%22976dff76abc09ca4b84e1ee0ca884848%22	https://portfolionibrasse.vercel.app/img/certif/jsU.jpg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/certif/jsU.jpg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:22	174503/174503	---M--	200	added ('OK')	image/jpeg	etag:%22740b508264fb512204ced8a95b17b71e%22	https://portfolionibrasse.vercel.app/img/certif/cssC.jpg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/certif/cssC.jpg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:22	26666/26666	---M--	200	added ('OK')	image/jpeg	etag:%226091972d816b0877a3d25519013969f0%22	https://portfolionibrasse.vercel.app/img/certif/jsC.jpeg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/certif/jsC.jpeg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:23	90208/90208	---M--	200	added ('OK')	image/jpeg	etag:%221167e901bceeca7deaefbe2a60b761e3%22	https://portfolionibrasse.vercel.app/img/certif/webF.jpg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/certif/webF.jpg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:23	81944/81944	---M--	200	added ('OK')	image/jpeg	etag:%2204d5a5963bf5888e794029713846ee4d%22	https://portfolionibrasse.vercel.app/img/certif/re+red.jpg	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/certif/re+red.jpg	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:24	62489/62489	---M--	200	added ('OK')	image/png	etag:%22a0c7c3441be53a63f7a385b175a33df8%22	https://portfolionibrasse.vercel.app/img/certif/goW1.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/certif/goW1.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:24	84521/84521	---M--	200	added ('OK')	image/png	etag:%224ab3f8a8728287212f75a0d0ac453abe%22	https://portfolionibrasse.vercel.app/img/certif/goF.png	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/img/certif/goF.png	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:25	11792/11792	---M-Z	200	added ('OK')	application/javascript	etag:%22605e8bc2-2e10%22	https://cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.12/typed.min.js	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.12/typed.min.js	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:26	1150/1150	---MCZ	200	added ('OK')	application/javascript	etag:W/%2286077a89f3b16ac4ca77b401650cd3df%22	https://portfolionibrasse.vercel.app/js/scripte.js	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/js/scripte.js	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:27	1366/1366	---MCZ	200	added ('OK')	application/javascript	etag:W/%22549f77edd5e82c72c9a69758b986c58c%22	https://portfolionibrasse.vercel.app/js/style-switcher.js	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/js/style-switcher.js	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
13:09:33	143630/143630	---MCZ	200	added ('OK')	application/javascript	etag:W/%22076a8eab08e8503da67c9b41f256f0af%22	https://portfolionibrasse.vercel.app/js/swiper-bundle.min.js	C:/Users/Dhiab/Desktop/jihen%20dhieb%20portfolio/portfolionibrasse.vercel.app/js/swiper-bundle.min.js	(from https://portfolionibrasse.vercel.app/?utm_source=chatgpt.com)
